Employee,11/27/2019,11/29/2019,11/30/2019,12/1/2019,12/21/2019,12/22/2019,12/23/2019,12/26/2019,12/27/2019,12/28/2019,12/29/2019,12/30/2019,12/31/2019
Arnie Gregon,1,4,3,2,6,5,7,8,9,10,11,12,13
Lucien Duckers,6,7,5,4,2,1,13,12,11,10,3,9,8
Theodoric Darthe,3,4,1,5,6,7,8,9,10,2,11,12,13
Caryl Iglesia,8,8,7,2,9,13,12,11,10,6,5,4,3
Emmalynne Cleve,9,8,7,6,10,4,12,13,11,5,1,2,3
Jacklyn Carlon,1,4,3,2,5,6,7,8,9,10,11,12,13
Alis Thomasset,12,1,4,5,11,6,13,2,3,10,7,9,8
Alla Rayson,13,12,11,10,1,2,3,4,5,6,7,8,9
Clio Ruthen,13,12,11,7,4,3,9,10,8,6,5,1,2
Bondy Bellsham,1,5,6,2,7,3,12,11,10,9,4,8,13
Finley Westfalen,1,5,6,2,7,3,12,11,10,9,4,8,13
Brittaney Blown,2,9,8,3,11,5,7,13,10,6,1,4,12
Germana Cornewall,6,7,8,1,2,12,13,11,3,4,5,9,10
Deina Aldin,11,12,13,4,3,1,2,6,10,9,8,7,5
Rossy Abramamov,1,9,10,2,5,7,11,12,13,8,3,4,6
Joane Toffanini,3,2,1,4,9,10,11,13,12,7,5,6,8
Seymour O'Keaveny,13,12,11,10,2,1,4,5,3,9,8,7,6
Thorny Gravenall,2,4,3,1,6,8,10,12,13,11,9,7,5
Florance Harkin,1,2,3,4,5,6,7,13,12,11,8,10,9
Zarla Kleinber,7,8,6,1,2,3,4,10,9,5,13,12,11
